time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-11-07T08:42:37.580Z,38.8286667,-122.8556671,2.31,0.78,md,11,127,0.001463,0.02,nc,nc72336795,2014-11-07T09:12:03.188Z,"10km WNW of The Geysers, California",earthquake
2014-11-07T08:40:14.052Z,41.896,-119.6402,0.2299,2.62,ml,4,144.86,0.493,0.167,nn,nn00466658,2014-11-07T11:15:38.294Z,"66km ESE of Lakeview, Oregon",earthquake
2014-11-07T08:24:57.870Z,-4.3441,102.2008,59.41,4.6,mb,,184,0.752,0.58,us,usc000svbc,2014-11-07T08:49:58.000Z,"60km S of Bengkulu, Indonesia",earthquake
2014-11-07T08:16:01.740Z,38.8333321,-122.810997,2.42,1.17,md,25,41,0.009949,0.04,nc,nc72336780,2014-11-07T11:15:05.412Z,"7km W of Cobb, California",earthquake
2014-11-07T08:05:54.864Z,41.8805,-119.6299,0,4.68,ml,6,76.98,0.502,0.1903,nn,nn00466648,2014-11-07T13:46:06.000Z,"67km ESE of Lakeview, Oregon",earthquake
2014-11-07T08:00:01.860Z,38.9496651,-122.7741699,4.32,1.76,md,12,161,0.07689,0.06,nc,nc72336770,2014-11-07T10:20:05.884Z,"5km SSE of Soda Bay, California",earthquake
2014-11-07T07:57:11.950Z,-15.0266,41.4585,12.93,4.8,mb,,54,6.798,0.57,us,usc000svb4,2014-11-07T08:57:43.287Z,"77km E of Ilha de Mocambique, Mozambique",earthquake
2014-11-07T07:50:31.000Z,62.0703,-149.1569,15.3,1.6,ml,,,,0.63,ak,ak11435475,2014-11-07T09:01:27.477Z,"34km NNW of Sutton-Alpine, Alaska",earthquake
2014-11-07T07:41:38.440Z,38.0901,20.3717,16.27,5.1,mb,,36,1.532,1.16,us,usc000svav,2014-11-07T08:38:24.949Z,"13km SSW of Lixourion, Greece",earthquake
2014-11-07T07:40:10.770Z,33.8565,-116.7293333,17.35,0.78,ml,24,55,0.06106,0.21,ci,ci37285808,2014-11-07T07:44:15.800Z,"8km SE of Cabazon, California",earthquake
2014-11-07T07:38:29.030Z,33.6785,-116.7026667,17.54,0.64,ml,23,104,0.03396,0.16,ci,ci37285800,2014-11-07T07:42:42.540Z,"6km SSE of Idyllwild, California",earthquake
2014-11-07T07:25:11.683Z,41.8878,-119.6093,0,2.67,ml,4,121.33,0.517,0.0732,nn,nn00466645,2014-11-07T11:53:38.098Z,"69km ESE of Lakeview, Oregon",earthquake
2014-11-07T07:21:58.450Z,38.7833328,-122.7354965,2.3,0.48,md,9,124,0.0009649,0.03,nc,nc72336760,2014-11-07T07:44:03.080Z,"1km ENE of The Geysers, California",earthquake
2014-11-07T07:21:00.000Z,64.9583,-150.2984,11.1,1.4,ml,,,,0.44,ak,ak11435469,2014-11-07T09:01:26.914Z,"16km ESE of Manley Hot Springs, Alaska",earthquake
2014-11-07T07:11:24.930Z,64.6022,-17.5846,8.3,5.2,mb,,74,1.616,0.58,us,usc000svaq,2014-11-07T07:32:47.000Z,"120km WNW of Hofn, Iceland",earthquake
2014-11-07T07:05:46.040Z,37.4744987,-118.7798309,6.9,1.82,md,27,155,0.1218,0.04,nc,nc72336755,2014-11-07T09:36:09.029Z,"26km SE of Mammoth Lakes, California",earthquake
2014-11-07T07:00:46.000Z,65.1356,-149.0972,9.5,1.1,ml,,,,0.21,ak,ak11435417,2014-11-07T09:01:24.102Z,"60km WNW of Ester, Alaska",earthquake
2014-11-07T06:58:40.544Z,41.9137,-119.6021,0,4.14,ml,6,78.69,0.522,0.2174,nn,nn00466637,2014-11-07T13:50:34.000Z,"68km ESE of Lakeview, Oregon",earthquake
2014-11-07T06:51:01.260Z,-60.1775,-26.9075,53.98,5.2,mb,,54,7.863,0.5,us,usc000svae,2014-11-07T14:53:30.332Z,"129km S of Bristol Island, South Sandwich Islands",earthquake
2014-11-07T06:40:02.257Z,41.9159,-119.6502,1.9353,2.84,ml,4,132.93,0.486,0.2127,nn,nn00466627,2014-11-07T14:42:37.114Z,"65km ESE of Lakeview, Oregon",earthquake
2014-11-07T06:24:45.000Z,60.8385,-149.7837,35.3,1.6,ml,,,,0.16,ak,ak11435415,2014-11-07T07:46:16.203Z,"42km S of Anchorage, Alaska",earthquake
2014-11-07T06:18:15.960Z,38.8341675,-122.7979965,2.55,0.56,md,8,97,0.007325,0.01,nc,nc72336735,2014-11-07T06:46:03.757Z,"6km WNW of Cobb, California",earthquake
2014-11-07T06:17:51.180Z,33.618,-116.6608333,14.95,0.3,ml,13,70,0.04577,0.05,ci,ci37285784,2014-11-07T06:22:02.120Z,"7km N of Anza, California",earthquake
2014-11-07T06:11:15.160Z,38.8126678,-122.8108368,3.02,0.85,md,19,63,0.01073,0.05,nc,nc72336725,2014-11-07T08:16:04.463Z,"6km NW of The Geysers, California",earthquake
2014-11-07T06:06:07.681Z,41.8716,-119.6285,0,3.28,ml,4,127.77,0.503,0.0686,nn,nn00466622,2014-11-07T14:08:37.556Z,"69km ESE of Lakeview, Oregon",earthquake
2014-11-07T06:04:14.910Z,33.2895,-116.2988333,5.94,0.89,ml,33,79,0.1014,0.26,ci,ci37285776,2014-11-07T06:08:18.750Z,"8km ENE of Borrego Springs, California",earthquake
2014-11-07T05:57:59.400Z,38.8256683,-122.8431702,2.23,0.85,md,11,83,0.00685,0.02,nc,nc72336715,2014-11-07T06:28:02.398Z,"9km NW of The Geysers, California",earthquake
2014-11-07T05:45:24.984Z,41.9076,-119.5765,0,2.32,ml,4,79.36,0.541,0.2827,nn,nn00466621,2014-11-07T06:18:02.139Z,"70km ESE of Lakeview, Oregon",earthquake
2014-11-07T05:37:12.410Z,36.3005,-118.094,1.1,1.54,ml,21,104,0.1395,0.24,ci,ci37285768,2014-11-07T05:41:13.340Z,"34km S of Lone Pine, California",earthquake
2014-11-07T05:36:32.200Z,19.4188,-154.8682,39.2,2,Md,,277.2,0.06288207,0.09,hv,hv60799146,2014-11-07T07:47:52.121Z,"7km SE of Leilani Estates, Hawaii",earthquake
2014-11-07T05:22:31.830Z,35.4796667,-118.2936667,1.64,1.11,ml,13,65,0.1374,0.23,ci,ci37285760,2014-11-07T05:26:16.690Z,"20km S of Weldon, California",earthquake
2014-11-07T05:18:34.230Z,33.6201667,-116.667,14.84,0.87,ml,32,50,0.04689,0.15,ci,ci37285752,2014-11-07T05:22:42.090Z,"7km N of Anza, California",earthquake
2014-11-07T05:06:36.960Z,38.8100014,-122.8115005,2.61,0.8,md,11,72,0.01282,0.02,nc,nc72336685,2014-11-07T05:43:03.888Z,"6km NW of The Geysers, California",earthquake
2014-11-07T04:49:45.840Z,38.8218346,-122.8136673,3.25,0.65,md,10,106,0.00321,0.02,nc,nc72336680,2014-11-07T05:31:03.633Z,"7km W of Cobb, California",earthquake
2014-11-07T04:48:15.670Z,13.905,-91.9307,40.69,4.6,mb,,184,0.657,0.88,us,usc000sv9q,2014-11-07T08:43:52.192Z,"43km S of Champerico, Guatemala",earthquake
2014-11-07T04:44:20.740Z,33.7631667,-115.9368333,1.1,0.89,ml,24,157,0.1012,0.27,ci,ci37285744,2014-11-07T04:48:32.200Z,"23km ENE of Coachella, California",earthquake
2014-11-07T04:43:39.260Z,38.8196678,-122.7648315,2.66,0.75,md,9,87,0.01149,0.02,nc,nc72336670,2014-11-07T05:31:02.336Z,"3km W of Cobb, California",earthquake
2014-11-07T04:31:47.310Z,41.9014,-119.5796,0,2.68,ml,4,157.33,0.539,0.1811,nn,nn00466598,2014-11-07T12:34:22.103Z,"68km ESE of Lakeview, Oregon",earthquake
2014-11-07T04:02:34.980Z,41.9096,-119.6182,0.6864,2.52,ml,4,154.84,0.51,0.0992,nn,nn00466591,2014-11-07T12:05:05.482Z,"69km ESE of Lakeview, Oregon",earthquake
2014-11-07T03:33:54.620Z,-6.0444,148.2098,43.21,6.6,mww,,15,3.496,0.79,us,usc000sv94,2014-11-07T14:56:16.000Z,"72km NNE of Finschhafen, Papua New Guinea",earthquake
2014-11-07T03:10:43.390Z,38.7948341,-122.7303314,1.97,0.89,md,9,91,0.01115,0.03,nc,nc72336620,2014-11-07T03:48:02.721Z,"2km NE of The Geysers, California",earthquake
2014-11-07T03:07:58.080Z,38.8093338,-122.8213348,2.57,1.52,md,25,51,0.006145,0.03,nc,nc72336615,2014-11-07T03:23:03.589Z,"6km WNW of The Geysers, California",earthquake
2014-11-07T03:06:21.550Z,33.9748333,-116.9855,18.14,0.85,ml,20,57,0.1215,0.25,ci,ci37285728,2014-11-07T03:10:42.810Z,"0km WNW of Cherry Valley, California",earthquake
2014-11-07T02:56:52.866Z,41.9034,-119.6367,0,2.78,ml,3,318.19,0.496,0.2479,nn,nn00466603,2014-11-07T10:59:39.038Z,"71km SE of Lakeview, Oregon",earthquake
2014-11-07T02:55:41.577Z,41.8855,-119.6131,2.3536,2.45,ml,3,146.13,0.514,0.1194,nn,nn00466585,2014-11-07T05:58:25.599Z,"64km ESE of Lakeview, Oregon",earthquake
2014-11-07T02:53:43.000Z,61.0758,-155.7838,4.1,2.1,ml,,,,0.45,ak,ak11435276,2014-11-07T09:01:23.527Z,"155km NNW of Old Iliamna, Alaska",earthquake
2014-11-07T02:47:20.170Z,39.9262,-118.3522,10.48,1.31,ml,6,251.34,0.786,,nn,nn00466584,2014-11-07T02:49:31.716Z,"29km SSE of Lovelock, Nevada",earthquake
2014-11-07T02:46:58.840Z,4.7456,95.1074,65.92,4.5,mb,,164,1.894,0.54,us,usc000sv91,2014-11-07T10:49:40.997Z,"92km SSW of Banda Aceh, Indonesia",earthquake
2014-11-07T02:34:45.501Z,41.9145,-119.6445,0,2.07,ml,4,238.39,0.49,0.189,nn,nn00466602,2014-11-07T05:05:05.103Z,"65km ESE of Lakeview, Oregon",earthquake
2014-11-07T02:33:47.740Z,33.5871667,-116.811,11,0.67,ml,24,68,0.03969,0.3,ci,ci37285720,2014-11-07T02:37:50.150Z,"13km WNW of Anza, California",earthquake
2014-11-07T02:27:45.990Z,-40.9943,43.0611,10,4.7,mb,,87,8.372,0.74,us,usc000sv8y,2014-11-07T10:30:20.775Z,"Southwest Indian Ridge",earthquake
2014-11-07T02:25:50.685Z,41.8927,-119.6241,0.188,2.43,ml,4,241.73,0.506,0.0526,nn,nn00466601,2014-11-07T05:39:05.422Z,"72km ESE of Lakeview, Oregon",earthquake
2014-11-07T02:12:00.070Z,36.6257,-116.2647,73.95,0.38,ml,6,100,0.213,,nn,nn00466580,2014-11-07T02:13:29.088Z,"52km NNW of Pahrump, Nevada",earthquake
2014-11-07T01:59:20.510Z,13.6135,-90.6545,69.76,5.4,mb,,106,1.356,0.56,us,usc000sv8v,2014-11-07T13:07:35.593Z,"35km S of Iztapa, Guatemala",earthquake
2014-11-07T01:51:11.561Z,41.9311,-119.6509,1.2062,3.35,ml,4,79.56,0.486,0.1665,nn,nn00466569,2014-11-07T09:53:48.770Z,"65km ESE of Lakeview, Oregon",earthquake
2014-11-07T01:47:51.800Z,41.8538,-119.5547,5,2.6,Md,,309.6,0.70068592,0.42,uw,uw60919526,2014-11-07T09:50:30.251Z,"75km ESE of Lakeview, Oregon",earthquake
2014-11-07T01:46:00.000Z,62.3287,-152.4633,0.4,2.3,ml,,,,0.84,ak,ak11435251,2014-11-07T02:41:28.831Z,"122km W of Talkeetna, Alaska",earthquake
2014-11-07T01:44:27.115Z,41.9156,-119.6494,0.4987,2.93,ml,4,134.43,0.487,0.1966,nn,nn00466565,2014-11-07T11:49:33.103Z,"65km ESE of Lakeview, Oregon",earthquake
